Datetime,open,close,high,low,volume,float,StockSymbol
21/11/2006,4623.863697,5016.891956,5779.829502,4585.33144,56500,110004656,ACB
22/11/2006,5517.810822,5190.287113,5517.810822,5009.185791,62300,110004656,ACB
23/11/2006,5587.168694,5332.856178,5587.168694,5009.185791,69900,110004656,ACB
24/11/2006,5394.507885,5656.526566,5856.894016,5394.507885,63600,110004656,ACB
27/11/2006,5656.526566,5656.526566,6219.096661,5201.8466,42400,110004656,ACB
28/11/2006,5779.829502,5517.810822,5779.829502,5394.507885,19800,110004656,ACB
29/11/2006,5394.507885,5313.59005,5471.571922,5124.782562,30900,110004656,ACB
30/11/2006,5086.250305,5066.984177,5201.8466,4970.653534,66200,110004656,ACB
01/12/2006,5124.782562,5047.718048,5124.782562,5009.185791,59300,110004656,ACB
04/12/2006,5047.718048,4889.735699,5047.718048,4816.524982,89500,110004656,ACB
05/12/2006,4855.056763,4708.634377,4855.056763,4623.863697,111400,110004656,ACB
06/12/2006,4623.863697,4712.487698,4855.056763,4623.863697,81800,110004656,ACB
07/12/2006,4816.524982,5182.580471,5182.580471,4816.524982,24200,110004656,ACB
08/12/2006,5587.168694,5433.040142,5587.168694,5240.378857,48500,110004656,ACB
11/12/2006,5933.95853,5556.343079,5933.95853,5433.040142,67600,110004656,ACB
12/12/2006,5201.8466,5352.122307,6088.087082,5201.8466,29000,110004656,ACB
13/12/2006,5394.507885,5379.095078,5510.104179,5240.378857,70500,110004656,ACB
14/12/2006,5394.507885,5421.480179,5506.251335,5355.975628,45600,110004656,ACB
15/12/2006,5471.571922,5510.104179,5587.168694,5413.774014,56800,110004656,ACB
18/12/2006,5548.636436,5571.755886,5625.700951,5506.251335,70400,110004656,ACB
19/12/2006,5587.168694,5537.07695,5587.168694,5510.104179,37400,110004656,ACB
20/12/2006,5548.636436,5567.902565,5587.168694,5540.930271,57400,110004656,ACB
21/12/2006,5548.636436,5548.636436,5587.168694,5433.040142,44600,110004656,ACB
22/12/2006,5394.507885,5325.149536,5394.507885,5201.8466,41000,110004656,ACB
25/12/2006,5325.149536,5394.507885,5471.571922,5201.8466,48400,110004656,ACB
26/12/2006,5433.040142,5456.159115,5587.168694,5394.507885,34000,110004656,ACB
27/12/2006,5587.168694,5675.792694,5710.47163,5587.168694,63900,110004656,ACB
28/12/2006,5664.233208,5872.306824,5972.490788,5664.233208,106000,110004656,ACB
29/12/2006,5895.426273,5779.829502,5895.426273,5741.297722,103200,110004656,ACB
02/01/2007,5706.618309,5702.765465,5779.829502,5664.233208,80300,110004656,ACB
03/01/2007,5722.031593,5775.976658,5818.361759,5722.031593,42700,110004656,ACB
04/01/2007,5779.829502,5972.490788,5972.490788,5779.829502,79800,110004656,ACB
05/01/2007,5972.490788,6080.380917,6165.151596,5972.490788,80600,110004656,ACB
08/01/2007,6061.114788,6061.114788,6165.151596,5856.894016,53100,110004656,ACB
09/01/2007,6007.169724,6011.023045,6088.087082,5933.95853,48900,110004656,ACB
10/01/2007,6057.32584,6134.489059,6173.070908,6057.32584,67700,110004656,ACB
11/01/2007,6130.63097,6173.070908,6173.070908,6018.743992,87800,110004656,ACB
12/01/2007,6130.63097,6250.234127,6365.979195,6095.907688,65300,110004656,ACB
15/01/2007,6173.070908,6288.815975,6288.815975,6173.070908,45100,110004656,ACB
16/01/2007,6250.234127,6346.688747,6365.979195,6250.234127,100800,110004656,ACB
17/01/2007,6315.823078,6288.815975,6636.051178,6211.652756,169500,110004656,ACB
18/01/2007,6350.546837,6520.30611,6520.30611,6308.106899,90800,110004656,ACB
19/01/2007,6481.724739,6848.250389,6944.705009,6481.724739,78000,110004656,ACB
22/01/2007,6713.214874,7099.031448,7137.613297,6713.214874,117500,110004656,ACB
23/01/2007,6944.705009,7484.848499,7535.004616,6944.705009,74400,110004656,ACB
24/01/2007,7322.805405,7793.501854,8051.999092,6751.796246,100800,110004656,ACB
25/01/2007,7666.182518,7484.848499,8102.155685,7083.599091,52400,110004656,ACB
26/01/2007,7218.635082,7369.103432,7484.848499,6913.83934,56900,110004656,ACB
29/01/2007,7218.635082,7338.238239,7365.245342,6983.286381,40300,110004656,ACB
30/01/2007,7330.521584,7562.011719,7697.04771,7330.521584,38200,110004656,ACB
31/01/2007,7562.011719,7616.026402,7716.338634,7562.011719,40300,110004656,ACB
01/02/2007,7592.877388,7523.430347,7986.410618,7407.68528,64300,110004656,ACB
02/02/2007,7515.713692,7504.139423,8102.155685,7446.266651,25500,110004656,ACB
05/02/2007,7477.13232,7426.976204,7639.175415,7407.68528,38200,110004656,ACB
06/02/2007,7461.699486,7465.557575,7523.430347,7330.521584,39500,110004656,ACB
07/02/2007,7461.699486,7600.593567,8102.155685,7446.266651,75400,110004656,ACB
08/02/2007,7592.877388,7515.713692,7716.338634,7484.848499,100800,110004656,ACB
09/02/2007,7504.139423,7519.572258,7677.756786,7446.266651,76200,110004656,ACB
12/02/2007,7504.139423,7523.430347,7600.593567,7504.139423,95300,110004656,ACB
13/02/2007,7562.011719,7677.756786,7677.756786,7562.011719,91600,110004656,ACB
14/02/2007,7677.756786,8063.573837,8102.155685,7677.756786,62200,110004656,ACB
15/02/2007,8024.991989,8275.773048,8295.063972,8024.991989,83300,110004656,ACB
26/02/2007,8295.063972,9004.96769,9004.96769,8295.063972,180500,110004656,ACB
27/02/2007,9066.698074,9722.586632,9838.332176,9066.698074,70300,110004656,ACB
28/02/2007,9734.161377,9568.260193,10706.41994,9143.861771,58000,110004656,ACB
01/03/2007,9560.544014,9529.678345,9838.332176,9336.770058,79400,110004656,ACB
02/03/2007,9548.969269,9413.9328,10417.05704,8607.575417,61700,110004656,ACB
05/03/2007,9645.422935,10031.24046,10417.05704,9645.422935,202700,110004656,ACB
06/03/2007,10224.14875,10764.29272,11015.07378,10224.14875,181400,110004656,ACB
07/03/2007,10802.87457,11015.07378,11381.59943,10802.87457,128000,110004656,ACB
08/03/2007,11045.93849,10995.78285,11574.50771,10957.201,142400,110004656,ACB
09/03/2007,11142.39311,10957.201,11574.50771,10918.61916,65200,110004656,ACB
12/03/2007,10752.71797,10629.25625,11574.50771,10031.24046,102900,110004656,ACB
13/03/2007,10471.07124,10378.47519,10802.87457,10378.47519,121900,110004656,ACB
14/03/2007,10081.3961,9838.332176,10494.22073,9645.422935,61800,110004656,ACB
15/03/2007,9819.041252,10224.14875,10339.89429,9259.606361,150100,110004656,ACB
16/03/2007,9819.041252,10799.016,10799.016,8839.065552,28400,110004656,ACB
19/03/2007,10802.87457,11265.85484,11728.83511,10802.87457,231700,110004656,ACB
20/03/2007,10663.98048,10417.05704,11265.85484,10417.05704,119900,110004656,ACB
21/03/2007,10455.63889,10417.05704,10609.96532,10378.47519,87600,110004656,ACB
22/03/2007,10355.32665,10393.9085,10532.80258,10035.09808,46600,110004656,ACB
23/03/2007,10228.00732,10146.98505,10417.05704,10146.98505,85600,110004656,ACB
26/03/2007,9749.593735,9259.606361,10224.14875,9259.606361,82600,110004656,ACB
27/03/2007,8908.513069,8777.335167,9645.422935,8777.335167,72800,110004656,ACB
28/03/2007,8908.513069,9795.891762,9795.891762,8102.155685,89000,110004656,ACB
29/03/2007,9915.494919,9915.494919,9915.494919,9915.494919,61100,110004656,ACB
30/03/2007,9915.494919,9645.422935,10907.04441,9066.698074,74300,110004656,ACB
02/04/2007,9575.976372,9452.514648,10224.14875,9259.606361,37900,110004656,ACB
03/04/2007,9313.620567,9263.464928,9568.260193,8873.789787,45600,110004656,ACB
04/04/2007,9645.422935,9722.586632,9838.332176,9645.422935,26700,110004656,ACB
05/04/2007,9691.720963,9568.260193,10031.24046,9460.230827,43400,110004656,ACB
06/04/2007,9741.877556,9838.332176,10031.24046,9645.422935,88700,110004656,ACB
09/04/2007,9768.884659,9873.055458,10031.24046,9768.884659,55800,110004656,ACB
10/04/2007,10031.24046,10301.31245,10378.47519,10031.24046,106800,110004656,ACB
11/04/2007,10301.31245,10378.47519,10802.87457,10301.31245,81600,110004656,ACB
12/04/2007,10231.86493,9996.517181,10783.58364,9954.076767,57200,110004656,ACB
13/04/2007,10201.00021,10262.7306,10764.29272,9645.422935,134400,110004656,ACB
16/04/2007,9942.502022,9529.678345,10802.87457,9529.678345,74700,110004656,ACB
17/04/2007,9479.521751,9402.359009,9645.422935,9267.32254,85100,110004656,ACB
18/04/2007,9479.521751,10027.3819,10031.24046,9452.514648,117200,110004656,ACB
19/04/2007,9687.86335,9606.842041,10224.14875,9518.1036,118400,110004656,ACB
20/04/2007,9371.49334,9336.770058,9992.658615,9259.606361,135000,110004656,ACB
23/04/2007,8513.61084,8478.492737,8739.369392,8438.357353,40300,143006048,ACB
24/04/2007,8312.935829,8383.172035,8538.694382,8026.974678,136100,143006048,ACB
25/04/2007,8312.935829,9140.717506,9140.717506,8277.817726,165200,143006048,ACB
02/05/2007,8558.76255,8704.251289,8869.807243,8428.323746,144000,143006048,ACB
03/05/2007,8438.357353,8423.306465,8679.166794,8378.154755,67700,143006048,ACB
04/05/2007,8232.666016,8252.733231,8528.660774,8026.974678,85800,143006048,ACB
07/05/2007,8232.666016,8353.071213,8428.323746,8227.649689,110500,143006048,ACB
08/05/2007,8378.154755,8478.492737,8674.149513,8378.154755,143300,143006048,ACB
09/05/2007,8478.492737,8468.458176,8729.335785,8363.10482,148300,143006048,ACB
10/05/2007,8338.020325,8338.020325,8528.660774,8227.649689,59900,143006048,ACB
11/05/2007,8338.020325,8473.475456,8478.492737,8227.649689,107000,143006048,ACB
14/05/2007,8428.323746,8428.323746,8628.997803,8428.323746,95400,143006048,ACB
15/05/2007,8508.593559,8473.475456,8729.335785,8443.374634,80600,143006048,ACB
16/05/2007,8443.374634,8378.154755,8528.660774,8378.154755,65500,143006048,ACB
17/05/2007,8428.323746,8448.390961,8478.492737,8383.172035,116600,143006048,ACB
18/05/2007,8428.323746,8423.306465,8478.492737,8378.154755,99300,143006048,ACB
21/05/2007,8428.323746,8423.306465,8578.829765,8378.154755,81000,143006048,ACB
22/05/2007,8433.341026,8428.323746,8528.660774,8403.23925,151000,143006048,ACB
23/05/2007,8448.390961,8448.390961,8528.660774,8448.390961,159700,143006048,ACB
24/05/2007,8448.390961,8448.390961,8528.660774,8388.189316,55100,143006048,ACB
25/05/2007,8398.222923,8403.23925,8428.323746,8277.817726,56300,143006048,ACB
28/05/2007,8343.037605,8333.003044,8418.290138,8277.817726,74200,143006048,ACB
29/05/2007,8302.902222,8252.733231,8353.071213,8237.683296,66400,143006048,ACB
30/05/2007,8142.362595,8026.974678,8403.23925,8026.974678,73900,143006048,ACB
31/05/2007,8072.126389,8087.177277,8142.362595,8026.974678,93300,143006048,ACB
01/06/2007,8072.126389,8177.480698,8378.154755,8026.974678,141800,143006048,ACB
04/06/2007,8107.244492,8026.974678,8252.733231,8026.974678,101700,143006048,ACB
05/06/2007,7946.705341,7846.368313,8127.31266,7826.300621,70100,143006048,ACB
06/06/2007,7826.300621,7916.604042,7946.705341,7675.795078,81400,143006048,ACB
07/06/2007,7826.300621,7806.233406,8026.974678,7776.132107,77300,143006048,ACB
08/06/2007,7680.811882,7675.795078,7826.300621,7525.289059,71500,143006048,ACB
11/06/2007,7404.884338,7324.614525,7725.963593,7274.446011,64300,143006048,ACB
12/06/2007,7053.704262,7073.771954,7324.614525,6983.468056,154400,143006048,ACB
13/06/2007,6933.299541,6903.198719,7123.940468,6858.047009,201800,143006048,ACB
14/06/2007,6933.299541,7123.940468,7128.957272,6873.09742,160500,143006048,ACB
15/06/2007,7174.108982,7434.985638,7525.289059,7174.108982,111500,143006048,ACB
18/06/2007,7424.95203,7550.373554,7625.626087,7424.95203,88700,143006048,ACB
19/06/2007,7505.221844,7495.187759,7525.289059,7374.783516,116100,143006048,ACB
20/06/2007,7399.867535,7334.648609,7525.289059,7274.446011,52400,143006048,ACB
21/06/2007,7093.839169,7023.602962,7374.783516,6978.451252,125500,143006048,ACB
22/06/2007,6973.434448,7048.687458,7048.687458,6772.760391,125700,143006048,ACB
25/06/2007,6888.147831,6873.09742,7023.602962,6822.928905,113900,143006048,ACB
26/06/2007,6822.928905,6848.012924,6923.265934,6722.5914,212200,143006048,ACB
27/06/2007,6822.928905,6837.979317,7023.602962,6822.928905,53400,143006048,ACB
28/06/2007,6737.642288,6697.507381,6873.09742,6672.422886,53600,143006048,ACB
29/06/2007,6296.158314,6331.276417,6722.5914,6120.568275,131200,143006048,ACB
02/07/2007,5809.523106,5719.219685,6271.074295,5669.05117,258200,253010656,ACB
03/07/2007,5508.511543,5608.848572,5769.388199,5368.039608,304100,253010656,ACB
04/07/2007,5618.882656,6055.34935,6055.34935,5618.882656,395700,253010656,ACB
05/07/2007,6000.164032,5995.146751,6371.411324,5924.911022,258800,253010656,ACB
06/07/2007,5965.045929,6035.281658,6120.568275,5719.219685,151600,253010656,ACB
09/07/2007,5960.029125,6020.231247,6120.568275,5879.759312,135800,253010656,ACB
10/07/2007,5970.062733,6421.579838,6446.664333,5970.062733,185700,253010656,ACB
11/07/2007,6426.597118,6456.697941,6572.085857,6426.597118,226600,253010656,ACB
12/07/2007,6251.006603,6235.956192,6521.917343,6070.399761,152900,253010656,ACB
13/07/2007,6245.989799,6371.411324,6371.411324,6145.652771,127500,253010656,ACB
16/07/2007,6125.585079,6110.534668,6271.074295,6070.399761,144800,253010656,ACB
17/07/2007,6125.585079,6230.939388,6245.989799,6110.534668,95800,253010656,ACB
18/07/2007,6195.821285,6230.939388,6311.209202,6195.821285,107400,253010656,ACB
19/07/2007,6195.821285,6185.787678,6271.074295,6120.568275,91500,253010656,ACB
20/07/2007,6165.719986,6150.669575,6195.821285,6145.652771,142800,253010656,ACB
23/07/2007,6110.534668,6120.568275,6220.905781,6085.450649,82700,253010656,ACB
24/07/2007,6085.450649,6045.315742,6145.652771,6045.315742,70000,253010656,ACB
25/07/2007,5970.062733,5980.09634,6120.568275,5919.894218,123400,253010656,ACB
26/07/2007,5909.860134,5914.877415,5970.062733,5894.809723,116800,253010656,ACB
27/07/2007,5909.860134,5919.894218,5944.978237,5769.388199,140200,253010656,ACB
30/07/2007,5794.472694,5844.641209,5844.641209,5744.30418,65400,253010656,ACB
31/07/2007,5784.439087,5784.439087,5819.556713,5754.337788,87500,253010656,ACB
01/08/2007,5769.388199,5995.146751,6020.231247,5764.371395,88200,253010656,ACB
02/08/2007,6120.568275,5919.894218,6120.568275,5879.759312,143900,253010656,ACB
03/08/2007,5909.860134,5869.725704,5919.894218,5824.573517,113100,253010656,ACB
06/08/2007,5919.894218,5809.523106,5919.894218,5809.523106,93400,253010656,ACB
07/08/2007,5819.556713,5819.556713,5839.624405,5774.405003,149800,253010656,ACB
08/08/2007,5824.573517,5869.725704,5889.792919,5819.556713,72500,253010656,ACB
09/08/2007,6020.231247,5975.079536,6020.231247,5869.725704,98400,253010656,ACB
10/08/2007,6070.399761,5934.94463,6120.568275,5909.860134,121400,253010656,ACB
13/08/2007,6020.231247,5894.809723,6020.231247,5869.725704,62400,253010656,ACB
14/08/2007,5884.776115,5884.776115,5909.860134,5844.641209,80600,253010656,ACB
15/08/2007,5874.742508,5919.894218,5970.062733,5874.742508,147300,253010656,ACB
16/08/2007,5919.894218,5909.860134,5919.894218,5869.725704,145500,253010656,ACB
17/08/2007,5919.894218,5874.742508,5919.894218,5869.725704,149100,253010656,ACB
20/08/2007,5869.725704,5844.641209,5894.809723,5794.472694,70700,253010656,ACB
21/08/2007,5869.725704,5844.641209,5894.809723,5819.556713,119400,253010656,ACB
22/08/2007,5859.69162,5859.69162,5869.725704,5799.489498,149100,253010656,ACB
23/08/2007,5869.725704,5859.69162,5894.809723,5819.556713,155300,253010656,ACB
24/08/2007,6120.568275,5944.978237,6120.568275,5859.69162,119000,253010656,ACB
27/08/2007,5934.94463,5919.894218,5970.062733,5874.742508,106600,253010656,ACB
28/08/2007,5919.894218,5899.826527,5919.894218,5864.708424,91200,253010656,ACB
29/08/2007,5894.809723,5919.894218,5929.927826,5894.809723,97400,253010656,ACB
30/08/2007,5909.860134,5929.927826,5934.94463,5909.860134,114400,253010656,ACB
31/08/2007,6070.399761,5970.062733,6070.399761,5924.911022,92900,253010656,ACB
04/09/2007,6010.197639,6120.568275,6120.568275,5980.09634,98600,253010656,ACB
05/09/2007,6220.905781,6025.248051,6220.905781,6010.197639,201500,253010656,ACB
06/09/2007,6020.231247,6010.197639,6080.433369,5995.146751,102300,253010656,ACB
07/09/2007,6020.231247,6005.180836,6070.399761,6005.180836,119700,253010656,ACB
10/09/2007,6015.214443,6000.164032,6070.399761,5970.062733,105800,253010656,ACB
11/09/2007,6020.231247,6000.164032,6020.231247,5970.062733,89800,253010656,ACB
12/09/2007,5975.079536,5990.129948,6000.164032,5975.079536,86300,253010656,ACB
13/09/2007,5995.146751,6010.197639,6020.231247,5995.146751,86300,253010656,ACB
14/09/2007,6070.399761,6080.433369,6080.433369,6000.164032,88100,253010656,ACB
17/09/2007,6085.450649,6291.14151,6346.327305,6085.450649,227200,253010656,ACB
